,DiskUsage,TotalCpus,TotalMemory,TotalDisk,CpuCacheSize,TotalVirtualMemory,GLIDEIN_Job_Max_Time,TotalSlots,CpuIsBusy,SlotType,Failure,Site
84121,1351,4,8192,6937479948,512,1060346040,34800,5,1,0,1,London
84123,298,1,2500,868949728,25344,102199236,32400,1,1,1,0,Michigan
84124,265340,128,248000,371398388,512,352711012,7200,32,1,0,0,Purdue-Anvil
84127,3627562,128,248000,371398188,512,357436260,7200,32,1,0,0,Purdue-Anvil
84132,222515,128,248000,371398284,512,355476584,7200,32,0,0,0,Purdue-Anvil
84139,188412,56,192000,149550272,39424,196111704,7200,15,0,0,0,TACC-Frontera
84156,22219,64,122000,669971864,40960,131890088,7200,16,0,0,0,T3_US_NERSC
84159,60699,64,122000,669995324,40960,131890088,7200,16,0,0,0,T3_US_NERSC
84161,66445,64,122000,669995988,40960,131890088,7200,16,0,0,0,T3_US_NERSC
84165,28490,64,122000,669995328,40960,131890088,7200,16,0,0,0,T3_US_NERSC
84169,21917,64,122000,669995832,40960,131890088,7200,16,0,0,0,T3_US_NERSC
84175,28917,64,122000,669995344,40960,131890088,7200,9,0,0,0,T3_US_NERSC
84176,32969,128,248000,911382896,512,263689912,7200,32,1,0,0,SDSC-Expanse
84183,179421,128,248000,911383720,512,263689912,7200,32,1,0,0,SDSC-Expanse
84187,3859219,256,510000,1340088692,512,527683920,7200,65,1,0,0,NERSC-Perlmutter-CPU
84195,68745,128,248000,371398596,512,349797988,7200,31,0,0,0,Purdue-Anvil
84198,189215,8,16384,3263340408,512,325354068,34800,9,1,0,1,PIC
84200,1410938,8,20240,1306917632,512,527362456,34800,9,1,0,0,CERN
84205,9121538,48,192000,149620556,33792,196453568,7200,13,0,0,0,TACC-Stampede2
84211,1037925,64,122000,669996088,40960,131890088,7200,16,0,0,0,T3_US_NERSC
84218,1793381,56,192000,149548568,39424,196111704,7200,15,0,0,0,TACC-Frontera
84220,222367,128,248000,371398164,512,353623144,7200,32,0,0,0,Purdue-Anvil
84222,187549,64,122000,669995420,40960,131890088,7200,16,0,0,0,T3_US_NERSC
84227,2471774,8,32768,6722522644,22528,257266984,34800,6,1,0,0,Manchester
84228,26543,56,192000,149544376,39424,196111700,7200,15,0,0,0,TACC-Frontera
